SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,Lon_Lat
261175254,12/30/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,WHITE HISPANIC,0,QUEENS,108,1002427,211084,40.74603468,-73.93440021,POINT (-73.93440021 40.74603468)
260578983,12/27/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,WHITE HISPANIC,0,MANHATTAN,14,988190,215311,40.757656,-73.985776,POINT (-73.985776 40.757656)
260548115,12/27/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,BLACK,0,BROOKLYN,73,1007215,181386,40.66450957,-73.91722188,POINT (-73.91722188 40.66450957)
260510473,12/26/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,18-24,M,WHITE HISPANIC,0,BROOKLYN,70,996007,173428,40.64268857,-73.95763536,POINT (-73.95763536 40.64268857)
260516313,12/26/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,BLACK,0,BROOKLYN,73,1009398,183349,40.669893,-73.909344,POINT (-73.909344 40.669893)
260512713,12/26/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,WHITE HISPANIC,0,BROOKLYN,70,998839,168942,40.630373,-73.947438,POINT (-73.947438 40.630373)
260517597,12/26/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,BLACK,0,BROOKLYN,73,1008913,186855,40.67951617,-73.91108137,POINT (-73.91108137 40.67951617)
260512712,12/26/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,WHITE HISPANIC,0,BROOKLYN,70,997086,171934,40.63858637,-73.95375018,POINT (-73.95375018 40.63858637)
260517598,12/26/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,WHITE HISPANIC,0,BROOKLYN,104,1008918,194147,40.69953101,-73.91103665,POINT (-73.91103665 40.69953101)
260516312,12/26/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,BLACK,0,BROOKLYN,73,1008755,183223,40.66954759,-73.91166422,POINT (-73.91166422 40.66954759)
260515224,12/26/2022,BICYCLE INFRACTION (COMMERCIAL),10-157,Administrative Code,BIKE,25-44,M,ASIAN / PACIFIC ISLANDER,0,BROOKLYN,70,995648,176533,40.6512116,-73.95892371,POINT (-73.95892371 40.6512116)
260510471,12/26/2022,BICYCLE INFRACTION (COMMERCIAL),10-157,Administrative Code,BIKE,25-44,M,ASIAN / PACIFIC ISLANDER,0,BROOKLYN,70,995677,176382,40.650799,-73.958817,POINT (-73.958817 40.650799)
260448540,12/22/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,BLACK,0,MANHATTAN,32,1000756,236127,40.81477434,-73.94036923,POINT (-73.94036923 40.81477434)
260409281,12/22/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,BLACK,0,BROOKLYN,73,1010739,178539,40.65668534,-73.9045307,POINT (-73.9045307 40.65668534)
260448539,12/22/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,BLACK,0,MANHATTAN,32,1000756,236127,40.81477434,-73.94036923,POINT (-73.94036923 40.81477434)
260331746,12/21/2022,BICYCLE INFRACTION (COMMERCIAL),10-157,Administrative Code,BIKE,25-44,M,ASIAN / PACIFIC ISLANDER,0,BROOKLYN,70,995870,175002,40.647011,-73.958124,POINT (-73.958124 40.647011)
260334378,12/20/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,BLACK,2,BROOKLYN,81,1001963,186901,40.679662,-73.936135,POINT (-73.936135 40.679662)
260343965,12/20/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,<18,F,BLACK,2,BROOKLYN,90,1000161,195682,40.7037643,-73.94261449,POINT (-73.94261449 40.7037643)
256533326,12/18/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,BLACK,0,BROOKLYN,70,996540,172661,40.6405826,-73.95571617,POINT (-73.95571617 40.6405826)
256533324,12/18/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,18-24,M,BLACK,0,BROOKLYN,70,995708,176233,40.65038808,-73.95870799,POINT (-73.95870799 40.65038808)
256531078,12/18/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,WHITE,0,BROOKLYN,73,1008098,183093,40.669194,-73.914032,POINT (-73.914032 40.669194)
256533325,12/18/2022,BICYCLE NO SAFETY HELMET,1238,VTL,VTL,25-44,M,BLACK,0,BROOKLYN,70,996540,172661,40.6405826,-73.95571617,POINT (-73.95571617 40.6405826)
256504891,12/17/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,BLACK,0,BROOKLYN,70,995258,174823,40.646521,-73.960331,POINT (-73.960331 40.646521)
256503334,12/17/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,BLACK,0,BROOKLYN,73,1006925,182865,40.66856984,-73.91826222,POINT (-73.91826222 40.66856984)
256504896,12/17/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,18-24,M,ASIAN / PACIFIC ISLANDER,0,BROOKLYN,73,1009205,188000,40.68265812,-73.91002437,POINT (-73.91002437 40.68265812)
256498051,12/17/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,BLACK,0,BROOKLYN,73,1007456,182968,40.66885117,-73.91634774,POINT (-73.91634774 40.66885117)
256468841,12/16/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,WHITE HISPANIC,0,BROOKLYN,70,996055,173313,40.64237286,-73.9574626,POINT (-73.9574626 40.64237286)
256467281,12/16/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,WHITE HISPANIC,0,BROOKLYN,70,995849,172756,40.640846,-73.958206,POINT (-73.958206 40.640846)
256112943,12/15/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,BLACK,0,BROOKLYN,73,1010184,182784,40.668341,-73.906514,POINT (-73.906514 40.668341)
255906395,12/14/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,18-24,M,WHITE,0,BROOKLYN,61,995834,161062,40.60874673,-73.95827996,POINT (-73.95827996 40.60874673)
255906396,12/14/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,WHITE,0,BROOKLYN,61,999565,151935,40.5836893,-73.94486337,POINT (-73.94486337 40.5836893)
255906399,12/14/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,18-24,M,WHITE HISPANIC,0,BROOKLYN,61,995029,157260,40.59831203,-73.96118525,POINT (-73.96118525 40.59831203)
255852054,12/13/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,18-24,M,WHITE HISPANIC,0,BROOKLYN,72,980255,172878,40.64118584,-74.01439507,POINT (-74.01439507 40.64118584)
255791678,12/12/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,BLACK,2,MANHATTAN,28,997399,230992,40.80068582,-73.95250703,POINT (-73.95250703 40.80068582)
255751968,12/11/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,BLACK,0,BROOKLYN,73,1008495,183171,40.66940558,-73.91260166,POINT (-73.91260166 40.66940558)
255751965,12/11/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,WHITE,0,MANHATTAN,13,986405,208120,40.73791765,-73.99222367,POINT (-73.99222367 40.73791765)
255725295,12/11/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,BLACK,0,BROOKLYN,70,995070,176121,40.65008147,-73.96100738,POINT (-73.96100738 40.65008147)
255754762,12/11/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,BLACK HISPANIC,0,BRONX,46,1013195,253403,40.862162,-73.895354,POINT (-73.895354 40.862162)
255725109,12/10/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,WHITE,0,BROOKLYN,70,995014,174169,40.64472372,-73.9612123,POINT (-73.9612123 40.64472372)
255684483,12/09/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,WHITE HISPANIC,0,BROOKLYN,61,995970,157394,40.59868,-73.957794,POINT (-73.957794 40.59868)
255689378,12/09/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,WHITE HISPANIC,0,QUEENS,110,1015219,211514,40.747182,-73.88823,POINT (-73.88823 40.747182)
255680742,12/09/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,18-24,M,BLACK HISPANIC,0,BRONX,47,1022778,262630,40.88745,-73.860657,POINT (-73.860657 40.88745)
255689379,12/09/2022,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,ASIAN / PACIFIC ISLANDER,0,QUEENS,110,1015938,211309,40.746616,-73.885638,POINT (-73.885638 40.746616)
