SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,New Georeferenced Column
298740241,01/01/2025,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,45-64,M,BLACK,0,BROOKLYN,075,1019950,184443,40.67285815573826,-73.87130201239103,POINT (-73.87130201239103 40.67285815573826)
298749202,01/01/2025,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,WHITE HISPANIC,2,MANHATTAN,023,1000719,229746,40.79726033232951,-73.94051856024117,POINT (-73.94051856024117 40.79726033232951)
298807971,01/02/2025,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,18-24,M,UNKNOWN,0,MANHATTAN,025,999520,230738,40.79998525481721,-73.94484675718118,POINT (-73.94484675718118 40.79998525481721)
298773189,01/02/2025,BIKE IN PARK,1-05I,Park Regs,BIKE,25-44,M,ASIAN / PACIFIC ISLANDER,0,MANHATTAN,022,991031,219361,40.768779,-73.975518,POINT (-73.975518 40.768779)
298808508,01/02/2025,BICYCLE INFRACTION (COMMERCIAL),10-157,Administrative Code,BIKE,25-44,M,BLACK HISPANIC,0,BRONX,046,1008496,248123,40.84768205210803,-73.91236381653033,POINT (-73.91236381653033 40.84768205210803)
298808501,01/02/2025,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,WHITE HISPANIC,0,QUEENS,113,1044685,186852,40.67933599499978,-73.78211138342401,POINT (-73.78211138342401 40.67933599499978)
298776095,01/02/2025,BIKE IN PARK,1-05I,Park Regs,BIKE,25-44,M,WHITE,0,MANHATTAN,022,991031,219361,40.768779,-73.975518,POINT (-73.975518 40.768779)
298808520,01/02/2025,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,BLACK,2,MANHATTAN,025,1000805,230947,40.80055658848938,-73.94020499134234,POINT (-73.94020499134234 40.80055658848938)
298855653,01/03/2025,BICYCLE ON SIDEWALK,19-176,Administrative Code,BIKE,25-44,M,OTHER,0,MANHATTAN,025,1000995,230244,40.798626687758514,-73.93952048362056,POINT (-73.93952048362056 40.798626687758514)
298857503,01/03/2025,BICYCLE INFRACTION (COMMERCIAL),10-157,Administrative Code,BIKE,18-24,M,WHITE HISPANIC,0,BROOKLYN,079,998212,193429,40.69758364001827,-73.94964853919328,POINT (-73.94964853919328 40.69758364001827)
